Voter Number	Voting Time(Minutes)
	1		326
	2		534
	3		66
	4		463
	5		556
	6		190
	7		529
	8		373
	9		458
	10		111
	11		234
	12		21
	13		129
	14		22
	15		396
	16		587
	17		131
	18		212
	19		198
	20		565
	21		462
	22		341
	23		311
	24		257
	25		495
	26		318
	27		408
	28		381
	29		204
	30		554
	31		166
	32		14
	33		157
	34		10
	35		492
	36		530
	37		330
	38		264
	39		69
	40		265
	41		396
	42		113
	43		332
	44		336
	45		238
	46		246
	47		148
	48		305
	49		318
	50		143
	51		464
	52		155
	53		273
	54		505
	55		445
	56		569
	57		453
	58		161
	59		349
	60		570
	61		387
	62		339
	63		97
	64		462
	65		514
	66		210
	67		185
	68		538
	69		582
	70		348
	71		77
	72		437
	73		350
	74		133
	75		498
	76		310
	77		34
	78		422
	79		150
	80		405
	81		519
	82		221
	83		158
	84		85
	85		407
	86		217
	87		488
	88		393
	89		413
	90		229
	91		190
	92		454
	93		520
	94		291
	95		245
	96		346
	97		479
	98		382
	99		345
	100		520
	101		360
	102		524
	103		479
	104		26
	105		52
	106		222
	107		194
	108		504
	109		327
	110		480
	111		134
	112		118
	113		279
	114		312
	115		129
	116		158
	117		465
	118		442
	119		461
	120		592
	121		20
	122		312
	123		28
	124		27
	125		581
	126		369
	127		45
	128		493
	129		594
	130		270
	131		222
	132		348
	133		45
	134		207
	135		122
	136		198
	137		311
	138		150
	139		76
	140		13
	141		201
	142		157
	143		449
	144		331
	145		198
	146		518
	147		134
	148		134
	149		190
	150		90
	151		154
	152		533
	153		134
	154		427
	155		191
	156		576
	157		206
	158		35
	159		384
	160		372
	161		348
	162		465
	163		233
	164		159
	165		314
	166		278
	167		446
	168		156
	169		580
	170		407
	171		522
	172		302
	173		41
	174		196
	175		318
	176		556
	177		354
	178		46
	179		118
	180		236
	181		371
	182		158
	183		440
	184		272
	185		195
	186		596
	187		78
	188		78
	189		162
	190		569
	191		285
	192		226
	193		369
	194		393
	195		467
	196		575
	197		303
	198		435
	199		354
	200		319
	201		211
	202		236
	203		49
	204		574
	205		511
	206		551
	207		226
	208		501
	209		437
	210		61
	211		454
	212		70
	213		335
	214		523
	215		360
	216		518
	217		137
	218		90
	219		498
	220		419
	221		102
	222		122
	223		273
	224		31
	225		186
	226		494
	227		289
	228		69
	229		273
	230		14
	231		302
	232		170
	233		118
	234		107
	235		104
	236		546
	237		82
	238		480
	239		171
	240		302
	241		119
	242		580
	243		499
	244		577
	245		465
	246		25
	247		161
	248		584
	249		416
	250		270
	251		584
	252		403
	253		559

Total Numbers of Voters: 253
Total Voting Time(in minutes): 1284.0
Average Voting Time(in seconds): 304.0
